antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'coffee', 'uht-milk'})",frozenset({'other vegetables'}),0.012830382,0.376700026,0.006928406,0.54,1.433501362,0.002095201,1.354999944
"frozenset({'coffee', 'uht-milk'})",frozenset({'whole milk'}),0.012830382,0.45804465,0.006415191,0.5,1.091596639,0.000538303,1.083910701
"frozenset({'uht-milk', 'cream cheese'})",frozenset({'other vegetables'}),0.010520914,0.376700026,0.005901976,0.56097561,1.48918389,0.001938747,1.41973883
"frozenset({'uht-milk', 'cream cheese'})",frozenset({'whole milk'}),0.010520914,0.45804465,0.005645368,0.536585366,1.171469563,0.00082632,1.169482598
"frozenset({'uht-milk', 'curd'})",frozenset({'other vegetables'}),0.013600205,0.376700026,0.007185014,0.528301887,1.402447175,0.002061816,1.321395946
"frozenset({'uht-milk', 'curd'})",frozenset({'whole milk'}),0.013600205,0.45804465,0.008211445,0.603773585,1.318154432,0.001981943,1.367792074
"frozenset({'uht-milk', 'dessert'})",frozenset({'other vegetables'}),0.006928406,0.376700026,0.003849115,0.555555556,1.47479564,0.001239184,1.402424942
"frozenset({'uht-milk', 'dessert'})",frozenset({'whole milk'}),0.006928406,0.45804465,0.003592507,0.518518519,1.132026144,0.000418988,1.125599574
"frozenset({'uht-milk', 'dishes'})",frozenset({'whole milk'}),0.003592507,0.45804465,0.002566076,0.714285714,1.55942377,0.000920548,1.896843726
"frozenset({'uht-milk', 'domestic eggs'})",frozenset({'other vegetables'}),0.01308699,0.376700026,0.008981268,0.68627451,1.821806379,0.004051398,1.986768668
"frozenset({'uht-milk', 'domestic eggs'})",frozenset({'whole milk'}),0.01308699,0.45804465,0.007185014,0.549019608,1.198615917,0.001190588,1.201727081
"frozenset({'uht-milk', 'frankfurter'})",frozenset({'other vegetables'}),0.015139851,0.376700026,0.008468052,0.559322034,1.484794255,0.00276487,1.41441148
"frozenset({'uht-milk', 'frankfurter'})",frozenset({'rolls/buns'}),0.015139851,0.349756223,0.007954837,0.525423729,1.502256985,0.00265958,1.370156531
"frozenset({'uht-milk', 'frankfurter'})",frozenset({'whole milk'}),0.015139851,0.45804465,0.007954837,0.525423729,1.147101552,0.001020109,1.141977345
"frozenset({'uht-milk', 'frozen meals'})",frozenset({'rolls/buns'}),0.006415191,0.349756223,0.003592507,0.56,1.601115187,0.001348754,1.477826767
"frozenset({'uht-milk', 'frozen meals'})",frozenset({'whole milk'}),0.006415191,0.45804465,0.004618938,0.72,1.57189916,0.001680494,1.935554822
"frozenset({'uht-milk', 'frozen vegetables'})",frozenset({'other vegetables'}),0.011290736,0.376700026,0.007185014,0.636363636,1.68931137,0.002931793,1.714074929
"frozenset({'uht-milk', 'frozen vegetables'})",frozenset({'whole milk'}),0.011290736,0.45804465,0.006415191,0.568181818,1.240450726,0.00124353,1.255054495
"frozenset({'uht-milk', 'fruit/vegetable juice'})",frozenset({'other vegetables'}),0.011290736,0.376700026,0.006671799,0.590909091,1.568646272,0.002418578,1.523622159
"frozenset({'uht-milk', 'fruit/vegetable juice'})",frozenset({'rolls/buns'}),0.011290736,0.349756223,0.005901976,0.522727273,1.494547455,0.001952971,1.362415533
"frozenset({'uht-milk', 'fruit/vegetable juice'})",frozenset({'whole milk'}),0.011290736,0.45804465,0.007185014,0.636363636,1.389304813,0.002013353,1.490377213
"frozenset({'uht-milk', 'grapes'})",frozenset({'other vegetables'}),0.004875545,0.376700026,0.003079292,0.631578947,1.676609781,0.001242674,1.691814216
"frozenset({'uht-milk', 'grapes'})",frozenset({'whole milk'}),0.004875545,0.45804465,0.003079292,0.631578947,1.378858912,0.000846074,1.471021665
"frozenset({'uht-milk', 'ham'})",frozenset({'whole milk'}),0.00436233,0.45804465,0.002822684,0.647058824,1.412654474,0.000824542,1.535540159
"frozenset({'uht-milk', 'hamburger meat'})",frozenset({'other vegetables'}),0.005388761,0.376700026,0.003335899,0.619047619,1.643343714,0.001305953,1.636162433
"frozenset({'uht-milk', 'hamburger meat'})",frozenset({'whole milk'}),0.005388761,0.45804465,0.002822684,0.523809524,1.143577431,0.000354391,1.138106236
"frozenset({'uht-milk', 'hard cheese'})",frozenset({'other vegetables'}),0.005132153,0.376700026,0.002822684,0.55,1.460047684,0.000889402,1.385111054
"frozenset({'uht-milk', 'hard cheese'})",frozenset({'whole milk'}),0.005132153,0.45804465,0.002822684,0.55,1.200756303,0.000471929,1.204345223
"frozenset({'uht-milk', 'herbs'})",frozenset({'other vegetables'}),0.004618938,0.376700026,0.002822684,0.611111111,1.622275204,0.00108273,1.602771363
"frozenset({'uht-milk', 'herbs'})",frozenset({'whole milk'}),0.004618938,0.45804465,0.003079292,0.666666667,1.455462185,0.000963612,1.625866051
